task_index,instruction,scoring_points
task_1,"On March 4, 2021, within the time range of 14:30 to 15:00, a single failure was detected in the system. The exact time when the root cause occurred is unknown. Please identify the specific occurrence time of the root cause.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2021-03-04 14:57:00
"
task_6,"On March 4, 2021, between 18:00 and 18:30, there was a single failure observed in the system. The exact component that caused this failure is unknown, and the reason behind the failure is also undetermined. Your task is to identify the root cause component and the root cause reason for this failure.","The only predicted root cause component is Redis02
The only predicted root cause reason is high memory usage
"
task_6,"During the specified time range of March 6, 2021, from 06:00 to 06:30, there was a single failure in the system. The component responsible for this failure and the reason behind it remain unknown. Please determine the root cause component and the root cause reason.","The only predicted root cause component is Tomcat01
The only predicted root cause reason is high memory usage
"
task_1,"During the specified time range of March 4, 2021, from 19:00 to 19:30, the system experienced one failure. The exact time of the root cause occurrence is currently unknown. Please pinpoint the root cause occurrence datetime.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2021-03-04 19:22:00
"
task_6,"A single failure occurred within the time range of March 6, 2021, from 00:30 to 01:00. The specific component affected by this failure and the reason behind it are currently unknown. You are tasked with identifying the root cause component and the root cause reason for this failure.","The only predicted root cause component is Tomcat04
The only predicted root cause reason is network latency
"
task_5,"On March 6, 2021, between 14:30 and 15:00, the system experienced a failure. The exact time when the root cause occurred and the specific component responsible for this failure are unknown. Please identify the root cause occurrence datetime and the affected component.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2021-03-06 14:46:00
The only predicted root cause component is Tomcat03
"
task_7,"On March 6, 2021, between 18:30 and 19:00, a failure occurred. However, the root cause component, the exact time of the root cause occurrence, and the underlying reason for the failure are currently unknown. You are tasked with identifying the root cause component, the root cause occurrence datetime, and the root cause reason.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2021-03-06 18:52:00
The only predicted root cause component is apache02
The only predicted root cause reason is network packet loss
"
task_3,"Within the specified time range of March 6, 2021, from 23:00 to 23:30, there was one reported failure in the system. The specific component responsible for this failure has not yet been identified. Your task is to determine the root cause component.","The only predicted root cause component is Tomcat01
"
task_7,"During the specified time range of March 6, 2021, from 23:30 to March 7, 2021, at 00:00, there was one failure observed. The exact root cause component, the time at which the root cause occurred, and the underlying reason for this failure remain unknown. You are required to identify the root cause occurrence time, the affected component, and the reason behind the failure.","The only root cause occurrence time is within 1 minutes (i.e., <=1min) of 2021-03-06 23:36:00
The only predicted root cause component is MG01
The only predicted root cause reason is network latency
"
task_6,"Within the specified time range of March 7, 2021, from 00:30 to 01:00, the system experienced a failure. The component responsible for this failure and the underlying reasons remain unknown. Please determine the root cause component and the root cause reason for this failure.","The only predicted root cause component is MG02
The only predicted root cause reason is network packet loss
"
